Название пары,Дата сделки,Стратегия сделки,Цена сделки
DOGEUSDT,2023-01-13 12:55:32,Close Short,346
DOGEUSDT,2023-01-12 17:17:23,Close Long,165
LINKUSDT,2023-01-12 15:01:08,Close Long,2
SHIB1000USDT,2023-01-12 14:46:14,Close Long,1400
SHIB1000USDT,2023-01-12 14:17:48,Close Short,1280
LINKUSDT,2023-01-12 14:17:48,Close Short,2
SHIB1000USDT,2023-01-12 14:16:28,Close Short,120
DOGEUSDT,2023-01-12 13:57:14,Close Short,165
DOGEUSDT,2023-01-12 13:46:23,Close Long,165
SHIB1000USDT,2023-01-12 13:45:14,Close Long,1400
SHIB1000USDT,2023-01-12 13:35:58,Close Long,2940
LINKUSDT,2023-01-12 13:31:41,Close Long,2
DOGEUSDT,2023-01-12 13:31:33,Close Long,165
LINKUSDT,2023-01-12 13:30:22,Close Short,9.4
DOGEUSDT,2023-01-12 13:29:58,Close Short,346
SHIB1000USDT,2023-01-12 08:07:29,Close Short,1400
SHIB1000USDT,2023-01-12 05:48:53,Close Short,2940
SHIB1000USDT,2023-01-11 23:27:33,Close Long,2940
DOGEUSDT,2023-01-11 18:04:11,Close Long,165
DOGEUSDT,2023-01-11 15:35:25,Close Short,165
SHIB1000USDT,2023-01-11 00:02:53,Close Short,1400
SHIB1000USDT,2023-01-10 23:28:26,Close Long,1400
SHIB1000USDT,2023-01-10 22:40:49,Close Short,1400
SHIB1000USDT,2023-01-10 22:19:12,Close Short,1400
SHIB1000USDT,2023-01-10 20:52:02,Close Long,1400
SHIB1000USDT,2023-01-10 20:36:06,Close Short,1400
SHIB1000USDT,2023-01-10 18:47:12,Close Long,1400
SHIB1000USDT,2023-01-10 14:47:00,Close Short,1400
SHIB1000USDT,2023-01-10 13:58:47,Close Long,1400
SHIB1000USDT,2023-01-10 13:36:43,Close Short,4630
SHIB1000USDT,2023-01-10 07:59:32,Close Long,1400
DOGEUSDT,2023-01-10 03:46:43,Close Long,165
DOGEUSDT,2023-01-10 02:45:43,Close Long,165
DOGEUSDT,2023-01-10 02:40:14,Close Short,437
DOGEUSDT,2023-01-10 02:40:14,Close Short,108
SHIB1000USDT,2023-01-10 02:12:34,Close Long,1400
SHIB1000USDT,2023-01-09 20:08:43,Close Short,3450
SHIB1000USDT,2023-01-09 20:08:43,Close Short,1180
DOGEUSDT,2023-01-08 20:14:21,Close Long,165
SHIB1000USDT,2023-01-08 20:01:51,Close Long,1400
SHIB1000USDT,2023-01-08 16:36:33,Close Short,1400
DOGEUSDT,2023-01-08 16:36:20,Close Short,165
DOGEUSDT,2023-01-08 14:54:18,Close Long,165
SHIB1000USDT,2023-01-08 14:47:14,Close Long,1400
SHIB1000USDT,2023-01-08 06:31:26,Close Long,1400
SHIB1000USDT,2023-01-08 00:33:08,Close Short,1400
DOGEUSDT,2023-01-08 00:33:02,Close Short,165
SHIB1000USDT,2023-01-07 17:05:18,Close Short,1400
DOGEUSDT,2023-01-07 15:08:17,Close Long,165
DOGEUSDT,2023-01-07 14:08:18,Close Short,165
DOGEUSDT,2023-01-06 20:27:20,Close Short,165
LINKUSDT,2023-01-06 19:47:01,Close Long,4.2
DOGEUSDT,2023-01-06 19:45:43,Close Long,346
SHIB1000USDT,2023-01-06 18:13:33,Close Long,1400
ETHUSDT,2023-01-06 15:40:56,Close Long,0.01
SHIB1000USDT,2023-01-06 02:07:00,Close Short,1400
SHIB1000USDT,2023-01-05 23:30:17,Close Long,1400
SHIB1000USDT,2023-01-05 23:25:19,Close Short,4630
DOGEUSDT,2023-01-05 08:02:48,Close Long,165
DOGEUSDT,2023-01-05 07:28:04,Close Short,346
DOGEUSDT,2023-01-04 22:33:25,Close Long,165
DOGEUSDT,2023-01-04 20:41:32,Close Short,165
LINKUSDT,2023-01-04 19:03:15,Close Short,2
ETHUSDT,2023-01-04 19:02:07,Close Short,0.01
ETHUSDT,2023-01-04 17:31:46,Close Long,0.01
LINKUSDT,2023-01-04 15:44:22,Close Long,2
DOGEUSDT,2023-01-04 15:43:57,Close Long,165
DOGEUSDT,2023-01-04 15:07:10,Close Short,165
